rep_id,first_name,last_name,email,phone,region,territory,manager_id,hire_date,employment_type,base_salary,commission_rate,quota,ytd_sales,attainment_percentage,total_customers,avg_deal_size,close_rate,active_deals,pipeline_value,skills,certifications,performance_rating,last_training,status,notes
REP115,Nicole,Perez,yoderchristina@example.org,814.647.6816x0390,Europe,Northern Europe,REP3,2023-08-20,Contract,101582,0.111,347170,425523,122.57,171,29516,0.231,13,273670,"[""Presentation"", ""Negotiation"", ""Closing""]","[""Google Analytics""]",4.8,2025-09-17,Active,Top performer
REP116,Nicholas,Russell,pmartinez@example.com,862-470-5855x39801,Asia Pacific,Southeast Asia,REP1,2022-11-13,Part-time,112901,0.127,141376,203299,143.8,20,22940,0.198,13,105604,"[""CRM"", ""Prospecting"", ""Negotiation""]","[""Salesforce""]",4.6,,Active,Expert in enterprise sales
REP117,Connor,Romero,grahamjohn@example.org,+1-679-406-8611x83189,Latin America,Brazil,REP3,2019-03-21,Contract,76862,0.085,338333,374902,110.81,157,14644,0.109,13,51090,"[""CRM"", ""Prospecting"", ""Closing""]","[""Microsoft Dynamics"", ""Google Analytics"", ""HubSpot""]",5.0,2025-09-07,Terminated,Top performer
REP118,Ethan,Murphy,dakotacurtis@example.net,650.765.1777x8256,Europe,Southern Europe,REP4,2020-05-14,Part-time,90954,0.061,195836,264348,134.98,161,26113,0.229,10,297519,"[""Closing"", ""Negotiation"", ""Presentation""]","[""Google Analytics"", ""HubSpot""]",4.2,2025-10-26,On Leave,Expert in enterprise sales
REP119,Shawn,White,david45@example.com,001-534-498-2677x866,Europe,Western Europe,REP3,2019-05-24,Part-time,103130,0.053,252024,232674,92.32,88,21457,0.371,7,189573,"[""CRM"", ""Negotiation"", ""Prospecting""]","[""Microsoft Dynamics"", ""HubSpot"", ""Google Analytics""]",4.3,2025-09-28,Terminated,
REP120,Kelsey,Bolton,garciamichael@example.com,886-364-2787,North America,East Coast,REP3,2019-03-14,Full-time,68159,0.066,141070,114044,80.84,56,3913,0.175,15,132535,"[""Presentation"", ""Closing"", ""CRM""]","[""HubSpot"", ""Google Analytics"", ""Salesforce""]",3.2,,Active,Needs coaching
REP121,Angela,Hernandez,espinozajustin@example.com,(245)688-5920x717,Latin America,Southern Cone,REP5,2023-12-19,Contract,53439,0.089,181157,165767,91.5,137,39423,0.374,19,209058,"[""Presentation"", ""CRM"", ""Negotiation""]",[],3.1,2025-08-24,Terminated,Top performer
REP122,Paul,Gregory,dianejones@example.net,7013425319,Asia Pacific,Southeast Asia,REP2,2020-07-01,Contract,65470,0.082,494891,447424,90.41,97,49988,0.121,1,279407,"[""Presentation"", ""Closing"", ""Negotiation""]",[],4.1,,On Leave,Expert in enterprise sales
REP123,Leslie,Stewart,osanders@example.net,(410)972-1602,North America,West Coast,REP4,2021-08-03,Part-time,69371,0.06,363863,346534,95.24,168,45972,0.352,1,457229,"[""Closing"", ""Prospecting"", ""CRM""]",[],3.7,,On Leave,Needs coaching
REP124,Andrew,Kim,kevin26@example.net,001-839-228-4024,Middle East,GCC,REP5,2025-01-01,Contract,89124,0.146,438564,171462,39.1,143,36258,0.322,20,159282,"[""CRM"", ""Negotiation"", ""Prospecting""]","[""HubSpot"", ""Google Analytics"", ""Salesforce""]",4.0,,On Leave,
REP125,Kevin,Alvarez,leslietorres@example.org,(276)294-5196,Latin America,Brazil,REP4,2024-02-03,Part-time,84352,0.133,436689,398949,91.36,17,36471,0.155,20,337965,"[""Negotiation"", ""Presentation"", ""CRM""]","[""HubSpot""]",3.4,2025-08-14,On Leave,Expert in enterprise sales
REP126,Kevin,Levine,bellbenjamin@example.net,293-512-1346x063,Middle East,Levant,REP3,2021-08-22,Part-time,85593,0.084,283797,203649,71.76,197,6115,0.211,16,75164,"[""Presentation"", ""Negotiation"", ""Closing""]","[""Google Analytics"", ""Microsoft Dynamics"", ""HubSpot""]",4.0,,Terminated,Needs coaching
REP127,Bryan,Norton,mark14@example.org,+1-890-789-5722x580,Middle East,Levant,REP2,2018-04-26,Full-time,110309,0.056,301694,388444,128.75,158,34655,0.329,10,207343,"[""Presentation"", ""CRM"", ""Negotiation""]","[""HubSpot""]",4.0,2026-01-24,Active,Needs coaching
REP128,Frank,Terry,dclark@example.net,(880)610-0440,North America,Midwest,REP3,2017-05-15,Contract,57853,0.122,301693,293873,97.41,86,36879,0.269,13,377562,"[""Prospecting"", ""Negotiation"", ""Closing""]","[""Google Analytics"", ""Microsoft Dynamics""]",4.4,2025-09-13,Terminated,Expert in enterprise sales
REP129,Alicia,Hobbs,cynthiamoore@example.com,561.539.2800x07747,North America,Canada,REP3,2021-10-21,Contract,109928,0.096,144723,185243,128.0,88,5438,0.37,3,66512,"[""CRM"", ""Presentation"", ""Prospecting""]",[],4.1,2025-10-17,On Leave,Expert in enterprise sales
REP130,Renee,Davis,zjacobs@example.com,259-240-9815x6188,Asia Pacific,East Asia,REP4,2024-08-01,Contract,113579,0.084,391441,557631,142.46,148,13709,0.26,20,317496,"[""CRM"", ""Presentation"", ""Negotiation""]","[""Microsoft Dynamics"", ""Google Analytics"", ""HubSpot""]",4.3,2025-08-22,Terminated,Top performer
REP131,Ashley,Chapman,palmeralicia@example.com,5122328073,Asia Pacific,Australia/NZ,REP1,2022-04-12,Full-time,92808,0.15,181404,148040,81.61,178,32560,0.392,8,212123,"[""Closing"", ""Negotiation"", ""Presentation""]","[""Salesforce""]",4.8,,On Leave,
REP132,Kelly,Cowan,michael06@example.org,+1-912-405-1282x2229,Asia Pacific,Australia/NZ,REP4,2018-01-19,Contract,51369,0.121,308410,386696,125.38,13,17261,0.106,7,280379,"[""Closing"", ""CRM"", ""Negotiation""]",[],3.5,,On Leave,Top performer
REP133,Joseph,Schmidt,scott07@example.org,+1-736-520-3290x01152,Middle East,Levant,REP1,2023-10-30,Full-time,82646,0.131,251798,133880,53.17,175,23810,0.116,10,165246,"[""Presentation"", ""CRM"", ""Negotiation""]",[],3.8,,Terminated,Needs coaching
REP134,Carlos,Sanders,sanchezcheryl@example.net,001-841-247-7109x176,Europe,Western Europe,REP3,2022-07-11,Part-time,77269,0.07,497354,374039,75.21,42,44858,0.172,10,303347,"[""Closing"", ""Prospecting"", ""Presentation""]","[""HubSpot"", ""Salesforce""]",4.5,2026-01-15,On Leave,Needs coaching
REP135,James,Dunn,angela11@example.org,+1-556-534-3505,Latin America,Brazil,REP1,2022-05-23,Part-time,88178,0.14,284046,200380,70.54,62,15337,0.314,13,86999,"[""Prospecting"", ""Closing"", ""CRM""]","[""HubSpot"", ""Salesforce""]",4.0,,On Leave,Needs coaching
REP136,Joseph,Gray,mbennett@example.com,+1-489-683-6593x909,Latin America,Mexico,REP2,2023-08-20,Contract,51473,0.081,288630,111252,38.54,100,23075,0.255,15,127948,"[""Closing"", ""Negotiation"", ""Presentation""]","[""Google Analytics"", ""Salesforce"", ""Microsoft Dynamics""]",3.0,,Terminated,Needs coaching
REP137,Tammy,Gallegos,bturner@example.com,3127165754,Latin America,Mexico,REP2,2018-08-21,Contract,63771,0.117,451168,381828,84.63,47,24521,0.346,19,70880,"[""Closing"", ""Negotiation"", ""CRM""]","[""Microsoft Dynamics""]",4.4,,Terminated,Top performer
REP138,Daniel,Robinson,zperkins@example.com,001-423-442-2289,Latin America,Andean,REP1,2022-03-15,Contract,66358,0.057,157660,155550,98.66,127,22347,0.328,3,152008,"[""CRM"", ""Negotiation"", ""Closing""]",[],4.7,2025-12-08,On Leave,
REP139,Jacqueline,Garcia,tcherry@example.net,(503)439-4228x86161,North America,South,REP3,2017-11-22,Part-time,95158,0.088,183542,257449,140.27,183,32392,0.261,17,269626,"[""Prospecting"", ""Closing"", ""CRM""]","[""HubSpot""]",4.7,,Terminated,
REP140,Sean,Mack,marthabutler@example.net,001-420-206-9955x5151,North America,Canada,REP2,2023-05-26,Full-time,109651,0.095,264850,120630,45.55,47,15940,0.361,19,97354,"[""Presentation"", ""CRM"", ""Closing""]","[""Google Analytics"", ""Salesforce"", ""Microsoft Dynamics""]",3.8,2025-12-12,Active,Needs coaching
REP141,Kari,Schmitt,thompsonaustin@example.net,+1-768-826-0522x903,North America,West Coast,REP2,2020-01-19,Part-time,104148,0.076,110118,74505,67.66,39,28284,0.395,1,209353,"[""Presentation"", ""CRM"", ""Negotiation""]","[""Google Analytics"", ""Microsoft Dynamics""]",3.0,2025-10-18,Active,Top performer
REP142,Laura,Graham,emadden@example.net,(523)427-0365x781,Asia Pacific,India,REP3,2024-10-30,Full-time,102952,0.136,428985,620474,144.64,82,5720,0.219,13,236582,"[""Prospecting"", ""Negotiation"", ""Presentation""]",[],3.8,2025-08-25,Active,Top performer
REP143,Cheryl,Rivera,harrismichelle@example.net,(947)224-0692x406,Asia Pacific,India,REP4,2024-02-15,Contract,83207,0.127,363251,295959,81.48,94,39137,0.329,2,270456,"[""Negotiation"", ""Closing"", ""CRM""]","[""Google Analytics""]",4.8,,Terminated,Top performer
REP144,Michael,Rodriguez,vjohnson@example.com,+1-371-346-7927x799,Europe,Northern Europe,REP3,2022-07-27,Full-time,93625,0.055,247789,164324,66.32,133,1872,0.267,20,403181,"[""Prospecting"", ""Negotiation"", ""Closing""]","[""Salesforce""]",4.3,,Active,Needs coaching
REP145,Aaron,Wilson,davismarie@example.net,312.522.0678,North America,East Coast,REP4,2019-04-22,Part-time,104660,0.138,104809,77865,74.29,48,32613,0.399,10,292969,"[""CRM"", ""Negotiation"", ""Prospecting""]","[""HubSpot""]",4.8,2025-10-24,Active,
REP146,John,Peterson,kayla30@example.net,001-395-394-0128x5967,Middle East,North Africa,REP4,2017-06-20,Part-time,59066,0.077,176814,170936,96.68,177,47552,0.209,5,131893,"[""Closing"", ""Presentation"", ""Prospecting""]",[],3.3,,Active,Top performer
REP147,Patricia,Meyer,jamesjohnson@example.net,001-856-521-2691x86040,Europe,Southern Europe,REP3,2020-06-08,Part-time,89199,0.079,136829,133404,97.5,175,45910,0.141,18,357762,"[""Presentation"", ""Negotiation"", ""CRM""]","[""Salesforce"", ""Microsoft Dynamics"", ""Google Analytics""]",3.8,2025-08-28,On Leave,Top performer
REP148,Debra,Hicks,garciabarbara@example.org,+1-856-307-0276x633,Latin America,Brazil,REP4,2023-09-01,Contract,97727,0.059,146801,66457,45.27,143,35839,0.192,6,413017,"[""Presentation"", ""Negotiation"", ""CRM""]",[],4.1,2025-12-12,On Leave,
REP149,Timothy,Russell,timothylopez@example.org,584-524-6378x5010,North America,West Coast,REP2,2019-04-24,Contract,89297,0.055,101298,98523,97.26,52,34443,0.289,6,481678,"[""Presentation"", ""Closing"", ""CRM""]","[""Google Analytics"", ""Salesforce"", ""HubSpot""]",3.2,,On Leave,
