customer_id,first_name,last_name,email,phone,date_of_birth,age,gender,income_bracket,occupation,company,address_street,address_city,address_state,address_country,address_postal_code,address_region,account_created,last_login,account_status,customer_segment,lifetime_value,avg_order_value,purchase_frequency,last_purchase_date,total_orders,total_spent,preferred_channel,preferred_category,loyalty_points,newsletter_subscribed,marketing_opt_in,customer_tier,credit_score,preferred_payment_method,shipping_preference,social_media_twitter,social_media_instagram,social_media_facebook,notes
CUST10015,Cody,Simmons,nicholas27@example.org,711-361-5280,1973-01-21,45,Female,High,Manufacturing systems engineer,"Pugh, Henderson and Moon",9451 Eric Orchard,Los Angeles,MI,USA,29893,North America,2022-01-08,,Closed,Loyal,2738,331,8,,10,2738,Email,Home & Kitchen,42029,False,False,Bronze,,Bank Transfer,Next Day,,@megan51,facebook.com/audrey68,
CUST10016,Joshua,Farmer,michael22@example.net,+1-661-720-1836x67525,1997-12-19,54,Male,High,Tax inspector,"Miller, Williams and Moore",147 Tucker Mills,New Sarahview,Idaho,Antarctica (the territory South of 60 deg S),54788,Middle East,2023-06-04,,Suspended,New,112,151,2,2025-11-29,1,112,Mobile App,Home & Kitchen,9475,True,False,Silver,,PayPal,Express,,,facebook.com/reeddaniel,Frequent returner
CUST10017,Erika,Watkins,brandon69@example.org,2349324451,1995-12-09,45,Other,Low,Planning and development surveyor,,68388 Jones Wall,Dallas,NY,USA,97761,North America,2021-06-17,2026-01-29,Active,New,812,102,2,2025-11-10,2,812,Mobile App,Beauty,49004,True,False,Platinum,,Bank Transfer,Standard,,,,Frequent returner
CUST10018,Steve,Miller,barbara96@example.net,+1-364-516-0529x7516,1974-10-01,44,Male,High,Theme park manager,,164 Walker Tunnel Apt. 181,Warsaw,,Germany,70048,Europe,2025-06-09,2026-01-17,Closed,At Risk,41,161,4,2026-02-04,2,41,In-Store,Fashion,3150,False,True,Platinum,,Credit Card,Standard,@michael23,,,VIP customer
CUST10019,Eric,Malone,thompsonkendra@example.com,999.679.9552x717,1999-04-17,65,Other,Middle,Haematologist,,8147 Johnson Land,East Jonathanburgh,,Netherlands,38128,Middle East,2021-10-02,2026-01-12,Inactive,Loyal,1699,243,8,2026-01-07,0,1699,In-Store,Beauty,22294,False,True,Bronze,695.0,PayPal,Express,,@jford,,VIP customer
CUST10020,Jacob,Jacobs,susanhayes@example.com,001-718-720-3778x892,2007-07-27,48,Other,High,Heritage manager,,5905 Mark Point Suite 449,South Reginashire,,Pakistan,20210,Asia Pacific,2023-12-08,,Active,New,574,55,4,2025-11-16,1,574,In-Store,Beauty,24552,False,True,Silver,,Apple Pay,Standard,,@sabrinacollins,,Prefers eco-friendly products
CUST10021,Nicholas,Conner,elizabethcalderon@example.net,+1-581-468-5054x23573,1955-08-25,61,Male,Very High,Careers adviser,,88805 Carla Drives Apt. 292,Andersonland,Oklahoma,Georgia,95027,Asia Pacific,2024-10-27,2026-01-10,Closed,Returning,689,112,5,,7,689,In-Store,Home & Kitchen,24853,False,True,Platinum,670.0,Apple Pay,Express,,@udiaz,,Prefers eco-friendly products
CUST10022,Kristen,Young,kylestokes@example.com,859.477.4688,2000-09-09,80,Female,Very High,"Engineer, communications","Taylor, Wright and Davidson",181 Miller Estates Suite 782,South Cheryl,West Virginia,Sao Tome and Principe,57841,Latin America,2021-11-17,2026-01-18,Suspended,Returning,420,194,2,2026-01-27,0,420,In-Store,Beauty,45477,True,False,Bronze,,PayPal,Express,,,facebook.com/bwilkerson,
CUST10023,Robert,Sanders,joe15@example.org,4519522047,1975-08-19,60,Male,Low,Warden/ranger,,04328 Rodriguez Heights,Philadelphia,IL,USA,31648,North America,2023-08-30,,Active,Returning,879,108,3,2025-11-20,5,879,Website,Sports,31703,True,True,Gold,,Bank Transfer,Next Day,,,,
CUST10024,Daniel,Stein,chenbailey@example.net,(446)309-5396,1980-09-22,32,Female,High,Media planner,,888 Peter Mountains,East Robertmouth,,Bahrain,06207,Latin America,2024-05-22,2026-01-26,Suspended,New,546,134,6,,2,546,Website,Home & Kitchen,22906,True,False,Platinum,,Bank Transfer,Express,@julie51,,,
CUST10025,Michael,Quinn,ingramjill@example.com,(405)385-2772,1993-10-30,27,Other,High,"Programmer, systems",Carter Inc,54868 King Terrace,Houston,OH,USA,85291,North America,2022-09-22,2026-01-21,Closed,New,218,127,4,,6,218,In-Store,Electronics,16677,False,False,Silver,,Credit Card,Next Day,,,,
CUST10026,Diana,Nelson,samuel67@example.com,627-775-8416x16928,1952-02-01,51,Other,Middle,Cartographer,Guerrero-Parker,75705 Hill Turnpike Apt. 165,Michelleton,,Tonga,67752,Latin America,2022-06-18,2026-01-09,Inactive,Returning,784,153,1,2025-11-22,1,784,Email,Electronics,5100,False,False,Bronze,407.0,Bank Transfer,Next Day,@ejohnson,,,Frequent returner
CUST10027,Patrick,Bradley,erikarush@example.com,419.928.5654x310,1980-05-02,54,Male,Very High,Naval architect,,4739 Benson Overpass,Port Deanna,,Guyana,26738,Middle East,2022-02-22,2026-01-14,Closed,Loyal,1729,470,8,2026-01-30,4,1729,Email,Home & Kitchen,37899,True,False,Platinum,,PayPal,Express,@hayesrachel,,,Prefers eco-friendly products
CUST10028,Michael,Brown,patricia22@example.com,431.332.3705x89578,1949-07-30,41,Other,High,Insurance broker,Key-Higgins,9125 Shannon Springs Suite 289,Osbornmouth,,Papua New Guinea,24351,Middle East,2022-03-13,2026-01-29,Inactive,New,59,166,2,,0,59,Mobile App,Fashion,22636,True,True,Bronze,578.0,PayPal,Standard,,,facebook.com/guerraapril,VIP customer
CUST10029,Jenna,Reed,meghan43@example.net,+1-442-449-8182,1989-12-05,58,Female,Middle,Trade union research officer,,001 Stacy Trail Suite 396,Fredmouth,,Vietnam,81517,Latin America,2021-05-11,2026-02-01,Closed,At Risk,945,107,3,2026-02-03,6,945,Email,Home & Kitchen,34089,True,True,Bronze,767.0,PayPal,Express,,,facebook.com/dawn47,VIP customer
CUST10030,Shawn,Barker,scottwashington@example.org,992-355-5625x88153,1963-04-22,70,Male,Middle,"Production assistant, television",,10469 Wright Way,Port Lindsay,Maryland,Iraq,21433,Asia Pacific,2023-11-20,2026-02-05,Suspended,At Risk,685,156,2,2026-01-18,0,685,Mobile App,Sports,34281,False,False,Bronze,429.0,PayPal,Standard,@james27,@tjimenez,,Prefers eco-friendly products
CUST10031,Tyler,Davis,pwagner@example.org,001-250-304-7974,1974-06-05,38,Male,Very High,Contractor,Luna-Gallagher,60983 Tran Cliffs Suite 878,Los Angeles,MI,USA,37164,North America,2022-02-10,2026-01-14,Suspended,Returning,657,189,5,,5,657,In-Store,Home & Kitchen,41233,False,False,Gold,485.0,Apple Pay,Next Day,,,,
CUST10032,Sheila,Fischer,carriemorales@example.org,4027578729,1986-10-27,25,Other,Low,"Investment banker, operational",Long PLC,588 Erickson Hills Suite 055,South Nathanielmouth,,Moldova,88818,Middle East,2022-01-12,2026-01-28,Inactive,New,391,165,2,,4,391,Email,Sports,14181,False,False,Gold,849.0,Apple Pay,Express,@laura09,,,Prefers eco-friendly products
CUST10033,Jennifer,Silva,alexandriagriffith@example.com,(830)491-3075,1973-03-16,28,Male,Low,"Engineer, electronics",Shaw-Carr,028 Ann Shore Suite 865,Bakershire,Iowa,Morocco,23200,Asia Pacific,2025-01-04,,Closed,New,331,118,1,,0,331,In-Store,Electronics,12818,True,False,Platinum,,Bank Transfer,Express,@amy49,@plee,,VIP customer
CUST10034,Teresa,Evans,janet75@example.com,(284)641-9866x524,1993-09-13,45,Male,Middle,Careers information officer,,4733 Fitzpatrick Square Suite 219,Angelabury,,Western Sahara,97611,Latin America,2026-02-03,2026-01-19,Closed,New,618,145,1,2025-12-02,0,618,In-Store,Fashion,6147,False,True,Bronze,,Bank Transfer,Next Day,@santiagoamanda,,facebook.com/briangutierrez,VIP customer
CUST10035,Jennifer,Garcia,adampierce@example.org,(877)434-5401x93802,2007-09-07,70,Other,Middle,Animator,,2400 Bradley Coves Suite 478,Houston,TX,USA,69224,North America,2025-04-20,2026-01-14,Closed,Returning,304,134,4,,1,304,In-Store,Electronics,21161,True,True,Platinum,,Credit Card,Next Day,,@znelson,facebook.com/riverajessica,Frequent returner
CUST10036,Matthew,Phillips,gregorychase@example.com,(585)916-1227x53046,1996-05-24,26,Female,Low,"Geologist, engineering",,9904 Schwartz Circle Apt. 742,Jennifertown,,Saint Pierre and Miquelon,53639,Middle East,2025-05-17,2026-01-23,Active,Loyal,1505,482,6,,8,1505,Mobile App,Sports,25641,False,True,Platinum,,PayPal,Standard,,@fowlershelia,facebook.com/christina32,Prefers eco-friendly products
CUST10037,Andrea,Ruiz,kathleenbecker@example.net,587-485-1910,1956-04-19,58,Female,Middle,Land,"Ramos, Frazier and Love",87072 Bryant Centers Suite 406,Hernandezstad,Vermont,Israel,33853,Asia Pacific,2021-02-15,2026-01-18,Active,Returning,3,85,2,2026-01-04,4,3,In-Store,Home & Kitchen,18110,True,True,Silver,676.0,PayPal,Next Day,,@williamsmelvin,facebook.com/weaverbrian,
CUST10038,Patricia,Andersen,ajohnson@example.org,001-826-456-7661x82512,1994-08-20,44,Female,Very High,Environmental health practitioner,Avila LLC,868 Morrow Gateway Suite 524,Amsterdam,,UK,25205,Europe,2022-01-22,2026-01-09,Suspended,Returning,346,114,4,,2,346,Email,Home & Kitchen,3085,True,True,Silver,388.0,Apple Pay,Express,,@bmendez,facebook.com/jamiegarcia,Frequent returner
CUST10039,Arthur,Harper,sanchezbradley@example.com,783.702.8439,1961-03-23,69,Other,Very High,Immigration officer,Odom PLC,4408 Connie Meadow,San Diego,GA,USA,73357,North America,2025-04-25,2026-01-10,Closed,New,497,56,2,2025-12-12,4,497,Website,Electronics,8491,False,False,Bronze,,Credit Card,Express,,@ufloyd,,Prefers eco-friendly products
CUST10040,Ivan,Medina,melissaturner@example.net,(870)586-6882,1962-06-15,33,Female,Very High,"Engineer, electronics",,175 Amanda Village Apt. 046,Russellport,,Honduras,88800,Middle East,2021-06-08,2026-01-11,Closed,New,570,166,4,2025-11-27,0,570,In-Store,Home & Kitchen,14708,False,False,Platinum,381.0,Bank Transfer,Standard,@timothybooth,@kevin03,facebook.com/suzannewilson,Prefers eco-friendly products
CUST10041,Rose,Arnold,oscar85@example.com,258-577-1753x556,1995-07-18,34,Other,Very High,Dancer,Green PLC,2353 Hudson Gardens Suite 854,Rochaborough,,Indonesia,64545,Latin America,2025-04-10,2026-01-30,Suspended,At Risk,511,117,3,2025-11-25,4,511,Email,Sports,19888,False,True,Bronze,652.0,Bank Transfer,Standard,,,facebook.com/gary87,VIP customer
CUST10042,Alexandria,Combs,landryelizabeth@example.org,(923)212-0387x50997,1945-07-21,21,Female,High,Ship broker,"Jenkins, Smith and Bowen",86211 John River Suite 546,New Veronica,,Bahamas,10858,Middle East,2024-04-10,,Closed,VIP,32102,740,18,,28,32102,Website,Home & Kitchen,44145,False,False,Gold,,PayPal,Next Day,,@pstevens,facebook.com/kevinclayton,VIP customer
CUST10043,Richard,Bennett,abrown@example.net,(517)565-9180,2006-06-08,61,Other,Middle,Tax adviser,Nelson-Glass,902 Smith Fords Apt. 614,Lake Victoriaton,,Bermuda,21793,Asia Pacific,2025-11-24,2026-01-19,Suspended,New,696,56,2,2026-01-03,3,696,Website,Beauty,747,False,False,Silver,,Credit Card,Standard,@irhodes,,,
CUST10044,Vanessa,Ramsey,brian63@example.org,899-496-5047x73586,1991-05-10,57,Female,Very High,Textile designer,"James, Barton and Phillips",114 Norman Tunnel,Patrickberg,,Somalia,83587,Latin America,2022-05-31,2026-01-26,Closed,Loyal,2918,220,12,,7,2918,In-Store,Beauty,38617,True,False,Bronze,356.0,Bank Transfer,Standard,,@michael10,facebook.com/sean41,VIP customer
CUST10045,Angela,Russell,davisangela@example.net,+1-456-804-6618x398,1956-08-20,29,Male,Low,Corporate treasurer,Turner-Snyder,64647 Michael Gateway,North Jacob,Oklahoma,Kiribati,94990,Latin America,2025-04-26,,Inactive,New,167,109,2,,4,167,Mobile App,Home & Kitchen,18345,False,True,Platinum,686.0,Apple Pay,Next Day,@stephentaylor,@rushmartin,,Frequent returner
CUST10046,Matthew,Ochoa,kevinmorrison@example.net,575.726.5479,1970-09-10,59,Male,Middle,Health visitor,,1939 Erin Plaza Apt. 737,Brockmouth,,Kazakhstan,38686,Asia Pacific,2021-09-08,,Suspended,Returning,401,132,2,,0,401,Email,Beauty,17360,False,False,Gold,,Apple Pay,Standard,@ichambers,@john26,facebook.com/mjones,Frequent returner
CUST10047,Robert,Johnson,jacqueline89@example.net,713-852-9096,1952-04-24,28,Female,High,Administrator,,3888 Sean Lock,Aguilarside,Vermont,Madagascar,61195,Asia Pacific,2025-05-10,2026-01-15,Suspended,Returning,6,132,2,2025-12-12,2,6,Website,Electronics,31435,False,False,Platinum,484.0,Credit Card,Standard,@webbkenneth,@wilsonshelia,facebook.com/michaelcooper,Prefers eco-friendly products
CUST10048,Kristen,Boyd,thomas77@example.com,440-410-5123,1967-08-17,74,Male,Very High,"Surveyor, minerals",,3622 Foster Street Apt. 796,Los Angeles,MI,USA,51466,North America,2021-02-19,2026-01-18,Inactive,Churned,925,133,5,2025-11-28,9,925,Mobile App,Sports,30931,False,True,Platinum,378.0,Apple Pay,Standard,,,,Prefers eco-friendly products
CUST10049,Cristian,Wiggins,michaelgonzalez@example.org,978-459-6969x155,2000-06-23,54,Male,Very High,Human resources officer,"Lawrence, Powers and Edwards",1252 Barnes Dam,Karenland,,Morocco,75841,Middle East,2024-05-13,,Inactive,Returning,117,159,1,2025-12-20,2,117,Email,Beauty,294,True,False,Bronze,483.0,Bank Transfer,Express,,@tommymedina,facebook.com/angelaburns,
CUST10050,Donald,Edwards,wharvey@example.org,323.268.8767x6772,1999-04-06,27,Other,Middle,English as a second language teacher,,43842 Cunningham Trail Suite 881,Los Angeles,GA,USA,75567,North America,2022-01-26,,Closed,Returning,375,119,1,2025-12-05,2,375,Email,Electronics,17633,False,False,Silver,,Apple Pay,Next Day,@amber07,@veronicagarcia,,Prefers eco-friendly products
CUST10051,Shannon,Bailey,gonzalesvictoria@example.org,595.296.2923,1983-11-24,43,Other,Very High,Make,,825 Roberts Grove Apt. 260,West Nancy,,Antigua and Barbuda,36850,Asia Pacific,2022-03-07,,Suspended,New,52,108,6,,8,52,Mobile App,Fashion,877,False,False,Silver,521.0,Bank Transfer,Next Day,@johndawson,,facebook.com/kathleenlowe,
CUST10052,Nicholas,Jones,powellkara@example.net,(577)859-0175x186,2001-03-26,73,Female,High,"Engineer, mining",,5458 Ashlee Oval Suite 001,Thomasview,Nebraska,Niue,82575,Latin America,2025-01-03,2026-01-08,Suspended,New,410,174,1,2025-11-21,0,410,In-Store,Electronics,6268,False,True,Bronze,,Bank Transfer,Next Day,,@scottsmith,facebook.com/sharris,Prefers eco-friendly products
CUST10053,Regina,Khan,erik41@example.net,(241)552-0643x611,1977-07-20,40,Male,Middle,Careers adviser,Wheeler PLC,05162 Jones Lights Apt. 115,Los Angeles,NC,USA,48678,North America,2023-08-24,,Inactive,New,741,140,2,2025-11-22,3,741,Email,Home & Kitchen,37706,True,False,Gold,405.0,Apple Pay,Next Day,,,facebook.com/wayala,
CUST10054,Nancy,May,caseyelliott@example.net,+1-327-853-2697x3112,1969-01-09,45,Male,Very High,"Pilot, airline",,34138 Maxwell Spurs Apt. 438,Phoenix,MI,USA,80052,North America,2025-06-08,2026-01-17,Active,New,19,169,3,2026-01-20,2,19,Mobile App,Home & Kitchen,36784,False,True,Platinum,694.0,PayPal,Express,@dphillips,@troyrodriguez,facebook.com/elittle,Prefers eco-friendly products
CUST10055,Robert,Payne,kathrynbest@example.org,6918043006,1973-12-05,37,Other,Very High,Operational investment banker,,889 Joshua Inlet,West Sarahberg,Oregon,Iceland,10858,Latin America,2025-06-13,,Suspended,VIP,47320,1389,41,,81,47320,Website,Fashion,41265,False,False,Platinum,,PayPal,Next Day,,,,
CUST10056,Samantha,Mccann,amandamyers@example.net,001-614-463-0316x17990,1953-03-25,39,Female,High,"Administrator, charities/voluntary organisations","Taylor, Smith and Crawford",842 Martinez Tunnel Suite 105,Prague,,UK,56773,Europe,2023-06-01,,Active,VIP,45198,1670,15,2025-12-29,4,45198,Website,Beauty,38088,False,True,Bronze,593.0,Credit Card,Next Day,@bakertheresa,,,VIP customer
CUST10057,Courtney,Crawford,brian92@example.com,(241)591-3800,1948-03-25,32,Female,Very High,Public house manager,,2208 Walker Gateway Suite 541,Rome,,Germany,75413,Europe,2024-04-09,,Inactive,Returning,711,85,2,2025-11-20,1,711,In-Store,Sports,15134,True,True,Gold,402.0,Apple Pay,Standard,,@whitelinda,facebook.com/finleycasey,
CUST10058,Steven,Campbell,mark87@example.org,(534)494-9375x973,1945-07-15,66,Female,Middle,Outdoor activities/education manager,,85050 Sweeney Stream,Brussels,,France,40807,Europe,2021-12-25,2026-01-17,Active,At Risk,264,175,3,2025-12-30,5,264,Email,Sports,17425,True,True,Silver,,Apple Pay,Express,,@robertwoodward,facebook.com/jenniferdavis,Prefers eco-friendly products
CUST10059,Paula,Ellis,carpenterwilliam@example.net,(719)990-6234x4565,1963-08-11,71,Other,High,Facilities manager,,29121 Shannon Island,Port April,,Reunion,53783,Middle East,2022-02-16,2026-02-03,Active,Loyal,4733,446,12,2025-12-13,7,4733,Email,Fashion,10889,False,True,Gold,,PayPal,Express,,@shannonford,facebook.com/davislindsey,Prefers eco-friendly products
CUST10060,Eddie,Dawson,randy04@example.com,(306)478-8317,1953-05-14,27,Other,Low,"Administrator, charities/voluntary organisations",,23651 Lowery Club,Margaretton,Massachusetts,Cuba,03358,Middle East,2021-08-25,2026-01-17,Closed,Loyal,3605,228,9,,9,3605,Website,Fashion,29596,False,True,Gold,,Apple Pay,Next Day,@flamb,,facebook.com/david70,Prefers eco-friendly products
CUST10061,Tyler,Reyes,nthompson@example.org,947-220-9993x476,1951-01-27,25,Female,Very High,Health service manager,,63838 Veronica Tunnel Suite 787,New Ryan,Montana,Saint Kitts and Nevis,45594,Middle East,2025-11-29,2026-02-01,Suspended,Loyal,4071,231,11,2025-12-10,8,4071,Mobile App,Sports,12874,False,True,Platinum,583.0,Apple Pay,Standard,@bnelson,,facebook.com/carla04,VIP customer
CUST10062,Katie,Key,craigsandoval@example.com,+1-703-796-5223,2007-04-20,53,Other,Middle,"Therapist, art",Warner LLC,378 Thompson Camp,Port Victoriahaven,,Guinea-Bissau,12331,Asia Pacific,2021-07-30,,Closed,New,847,180,1,,1,847,Mobile App,Fashion,3307,True,True,Platinum,,Credit Card,Standard,@carolynsmith,,,Frequent returner
CUST10063,Timothy,Rivera,lindsaypeterson@example.org,700-629-2185x15691,1967-01-21,19,Other,High,Copy,,675 Jasmine Points,Vienna,,Germany,91407,Europe,2024-02-19,2026-01-18,Closed,New,235,138,1,,0,235,Mobile App,Home & Kitchen,6280,True,False,Bronze,,Apple Pay,Express,,@nicholasgross,,
CUST10064,Jacqueline,Berry,whitelucas@example.net,791.472.5135,1988-05-24,35,Male,Middle,Chartered management accountant,"Santiago, Daniel and Rogers",3315 Buchanan Stravenue,Davidtown,,Yemen,00668,Asia Pacific,2021-07-05,2026-01-26,Suspended,Returning,72,70,5,2025-12-21,2,72,Website,Fashion,33468,True,False,Bronze,555.0,Apple Pay,Standard,,@acosta,,Frequent returner
CUST10065,Trevor,Gray,egarcia@example.net,+1-432-871-0405x4115,1956-01-20,77,Male,Very High,Cabin crew,"Mcmahon, Spence and Morgan",062 Moore Courts Suite 336,Philadelphia,GA,USA,91883,North America,2025-10-24,2026-02-03,Closed,At Risk,321,141,4,2025-12-04,3,321,Mobile App,Sports,41405,True,False,Platinum,317.0,Bank Transfer,Standard,,@kenneth10,facebook.com/farmstrong,Frequent returner
CUST10066,Eric,Ward,qmiller@example.net,+1-873-910-3241x714,1978-05-21,75,Other,Very High,Geochemist,,862 Mcclure Land,Amsterdam,,Germany,24956,Europe,2024-11-21,2026-01-10,Suspended,New,797,50,4,,2,797,Email,Home & Kitchen,39787,False,False,Platinum,,Bank Transfer,Standard,,@scott43,facebook.com/anne21,VIP customer
CUST10067,Brittany,Spencer,acardenas@example.net,+1-479-337-4160x89899,1996-08-18,19,Other,Low,"Production assistant, radio",Rush and Sons,20616 Wendy Road,Lake Mauriceside,Wisconsin,Isle of Man,19883,Middle East,2023-04-18,2026-01-23,Inactive,New,80,122,4,2026-02-05,7,80,Email,Sports,38921,True,True,Gold,,Credit Card,Express,@millerangela,@melissa87,,VIP customer
CUST10068,Sally,Smith,jrodriguez@example.org,001-799-811-9148,1963-01-29,63,Other,High,Music therapist,"Washington, Lynch and Johnson",2996 Randy Isle Apt. 074,Dallas,PA,USA,49317,North America,2021-04-09,2026-01-24,Closed,At Risk,953,61,3,,3,953,Mobile App,Beauty,31367,True,True,Bronze,,PayPal,Next Day,,@larry71,facebook.com/dennismccann,
CUST10069,Robert,Brewer,scottmcintyre@example.com,001-278-450-8214x8628,1958-03-22,61,Other,High,"Engineer, control and instrumentation",,07053 Richardson Mountain,Schroedermouth,Washington,Ethiopia,66708,Latin America,2024-06-23,,Closed,Loyal,2876,307,8,2026-01-09,0,2876,Mobile App,Electronics,26236,False,False,Bronze,,Apple Pay,Express,@maldonadojohn,,,
CUST10070,Brenda,Bailey,marygreen@example.net,540-560-2933,1963-06-01,34,Female,Very High,Outdoor activities/education manager,,072 Carolyn Branch,Wheelerburgh,New Mexico,Trinidad and Tobago,29830,Asia Pacific,2023-04-01,2026-02-06,Active,At Risk,388,184,5,2026-01-26,5,388,In-Store,Electronics,5505,False,False,Gold,,Credit Card,Express,,,facebook.com/jennifer46,Frequent returner
